# priority_groups.tsv
# Generated by s04_priority_groups.py
# group_name  source  featuretype  status
# status: 'include' (shown in priority panel) or 'exclude' (hidden)
# Use * to match any value in source or featuretype.
# Groups are applied in order; first match wins.
group_name	source	featuretype	status
Classical allele	Allele	point_mutation	include
Classical allele	Allele	deletion	include
Classical allele	Allele	complex_substitution	include
High-throughput allele	NBP_knockout	*	include
High-throughput allele	KO_consortium	*	include
TE insertion	*	transposable_element_insertion_site	include
TE insertion	*	insertion_site	include
other transcriptional crap	SL1	SL1_acceptor_site	include
other transcriptional crap	polyA_site	polyA_site	include
other transcriptional crap	SL2	SL2_acceptor_site	include
_excluded_	WormBase	PCR_product	exclude
_excluded_	WormBase	reagent	exclude
_excluded_	WormBase	STS	exclude
